date,btc_close,composite_score,target_btc_exposure_pct,red_count,green_count,signal,dca_percentile,dca_multiplier,dca_buy_factor,reserve_balance
2016-09-05,605.76,49.04,52.4,0,0,ACCUMULATE,50.0,1.25,1.25,13.5
2016-09-06,610.44,49.4,51.5,0,0,ACCUMULATE,54.2,1.25,1.25,13.25
2016-09-07,613.21,49.6,51.0,0,0,ACCUMULATE,54.8,1.25,1.25,13.0
2016-09-08,625.57,50.58,48.5,0,0,ACCUMULATE,59.7,1.25,1.25,12.75
2016-09-09,623.16,50.36,49.1,0,0,ACCUMULATE,58.7,1.25,1.25,12.5
2016-09-10,624.52,50.44,48.9,0,0,HOLD,59.2,1.0,1.0,12.5
2016-09-11,605.61,48.86,52.8,0,0,HOLD,46.1,1.0,1.0,12.5
2016-09-12,607.98,48.85,52.9,0,0,HOLD,45.9,1.0,1.0,12.5
2016-09-13,608.61,48.88,52.8,0,0,HOLD,46.5,1.0,1.0,12.5
2016-09-14,609.54,48.92,52.7,0,0,HOLD,47.1,1.0,1.0,12.5
2016-09-15,608.11,48.78,53.0,0,0,HOLD,45.0,1.0,1.0,12.5
2016-09-16,607.78,48.72,53.2,0,0,HOLD,43.7,1.0,1.0,12.5
2016-09-17,607.08,48.63,53.4,0,0,HOLD,43.5,1.0,1.0,12.5
2016-09-18,610.7,48.89,52.8,0,0,HOLD,47.1,1.0,1.0,12.5
2016-09-19,609.85,48.59,53.5,0,0,HOLD,43.2,1.0,1.0,12.5
2016-09-20,609.24,48.5,53.7,0,0,HOLD,41.5,1.0,1.0,12.5
2016-09-21,597.16,47.49,56.2,0,0,HOLD,32.7,1.0,1.0,12.5
2016-09-22,595.63,47.33,56.6,0,0,HOLD,30.3,1.0,1.0,12.5
2016-09-23,602.92,47.88,55.3,0,0,HOLD,36.2,1.0,1.0,12.5
2016-09-24,602.59,47.82,55.4,0,0,HOLD,36.1,1.0,1.0,12.5
2016-09-25,601.49,47.69,55.7,0,0,HOLD,34.1,1.0,1.0,12.5
2016-09-26,606.54,47.66,55.8,0,0,HOLD,33.9,1.0,1.0,12.5
2016-09-27,605.47,47.53,56.1,0,0,HOLD,33.1,1.0,1.0,12.5
2016-09-28,604.67,47.43,56.4,0,0,HOLD,31.9,1.0,1.0,12.5
2016-09-29,604.7,47.4,56.5,0,0,HOLD,31.0,1.0,1.0,12.5
2016-09-30,608.14,47.63,55.9,0,0,HOLD,34.5,1.0,1.0,12.5
2016-10-01,613.41,48.01,55.0,0,0,HOLD,38.8,1.0,1.0,12.5
2016-10-02,610.69,47.75,55.6,0,0,HOLD,36.8,1.0,1.0,12.5
2016-10-03,611.6,47.74,55.6,0,0,HOLD,36.3,1.0,1.0,12.5
2016-10-04,608.96,49.54,51.2,0,0,HOLD,57.7,1.0,1.0,12.5
2016-10-05,611.82,47.66,55.8,0,0,HOLD,34.6,1.0,1.0,12.5
2016-10-06,610.97,49.73,50.7,0,0,HOLD,58.7,1.0,1.0,12.5
2016-10-07,616.03,47.89,55.2,0,0,HOLD,38.3,1.0,1.0,12.5
2016-10-08,617.65,50.34,49.1,0,0,HOLD,62.2,1.0,1.0,12.5
